instance,n_stops,scenario,scenario_kind,shape,effect,edges_closed,edges_slowed,T1_total_s,T2_omniscient_feasible,T2_omniscient_total_s,T2_reactive_feasible,T2_reactive_total_s,T3_feasible,T3_triggered,T3_total_s,T3_oracle_feasible,T3_oracle_total_s,saving_pct
small,8,liffey_quays_closure,curated,corridor,closure,44,0,3260.011768768727,True,3420.4831823818245,False,,False,True,,True,3280.3266353325944,
small,8,luas_works_dawson_street,curated,corridor,slow_zone,0,2,3260.011768768727,True,3387.6753224529275,True,3387.6753224529275,True,False,3387.6753224529275,True,3378.132893487358,0.0
small,8,oconnell_street_protest,curated,polygon,closure,58,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,st_patricks_day_parade,curated,corridor,closure,53,0,3260.011768768727,False,,False,,False,True,,False,,
small,8,random_seed_42,random,edge,closure,2,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_43,random,edge,slow_zone,0,2,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_44,random,polygon,closure,40,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_45,random,corridor,slow_zone,0,4,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_46,random,edge,slow_zone,0,2,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_47,random,corridor,closure,4,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_48,random,corridor,closure,8,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_49,random,edge,slow_zone,0,2,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_50,random,polygon,slow_zone,0,90,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
small,8,random_seed_51,random,node,closure,2,0,3260.011768768727,True,3260.011768768727,True,3260.011768768727,True,False,3260.011768768727,True,3260.011768768727,0.0
medium,20,liffey_quays_closure,curated,corridor,closure,44,0,10252.236059018353,False,,False,,False,True,,False,,
medium,20,luas_works_dawson_street,curated,corridor,slow_zone,0,2,10252.236059018353,True,10379.899612702553,True,10379.899612702553,True,False,10379.899612702553,True,10473.664120562991,0.0
medium,20,oconnell_street_protest,curated,polygon,closure,58,0,10252.236059018353,False,,False,,False,True,,False,,
medium,20,st_patricks_day_parade,curated,corridor,closure,53,0,10252.236059018353,False,,False,,False,True,,False,,
medium,20,random_seed_42,random,edge,closure,2,0,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
medium,20,random_seed_43,random,edge,slow_zone,0,2,10252.236059018353,True,10252.236059018353,True,10252.236059018353,True,False,10252.236059018353,True,10252.236059018353,0.0
